recall per class ['0/0', '0/3', '3/7', '1/9', '0/2', '0/0', '82/107']
recall per class ['0/0', '0/1', '4/6', '9/15', '0/1', '0/0', '86/105']
recall per class ['0/0', '0/3', '2/5', '10/22', '0/3', '0/0', '58/95']
recall per class ['0/0', '0/5', '3/5', '11/20', '0/3', '0/0', '62/95']
recall per class ['0/0', '0/1', '5/7', '9/22', '0/1', '0/0', '77/97']
recall per class ['0/0', '0/1', '4/8', '8/12', '0/2', '0/0', '85/105']
recall per class ['0/0', '0/5', '2/4', '3/16', '0/2', '0/0', '81/101']
recall per class ['0/0', '0/2', '5/8', '5/9', '0/0', '0/0', '79/109']
recall per class ['0/0', '0/2', '4/9', '6/17', '0/1', '0/0', '80/99']
recall per class ['0/0', '0/1', '2/5', '5/15', '0/1', '0/0', '81/106']
recall per class ['0/0', '0/2', '5/7', '5/15', '0/0', '0/0', '81/104']
recall per class ['0/0', '0/1', '2/6', '6/13', '0/1', '0/0', '82/107']
recall per class ['0/0', '0/2', '1/4', '6/18', '0/1', '0/0', '83/103']
recall per class ['0/0', '0/2', '4/5', '9/16', '0/2', '0/0', '77/103']
recall per class ['0/0', '0/0', '4/14', '5/15', '0/1', '0/0', '77/98']
recall per class ['0/0', '0/4', '5/9', '6/19', '0/2', '0/0', '72/94']
recall per class ['0/0', '1/1', '3/8', '9/19', '0/1', '0/0', '80/99']
recall per class ['0/0', '0/6', '2/6', '11/21', '0/2', '0/0', '71/93']
recall per class ['0/0', '0/3', '6/8', '4/11', '0/2', '0/0', '80/104']
recall per class ['0/0', '1/4', '5/7', '7/19', '0/0', '0/0', '74/98']
recall per class ['0/0', '0/3', '2/3', '10/20', '0/2', '0/0', '77/100']
recall per class ['0/0', '0/4', '2/5', '9/16', '0/2', '0/0', '75/101']
recall per class ['0/0', '0/4', '5/8', '8/13', '0/2', '0/0', '70/101']
recall per class ['0/0', '0/5', '2/8', '7/22', '0/1', '0/0', '73/92']
recall per class ['0/0', '0/0', '4/5', '4/14', '0/1', '0/0', '89/108']
recall per class ['0/0', '0/2', '2/6', '6/19', '0/1', '0/0', '76/100']
recall per class ['0/1', '0/3', '5/7', '4/15', '0/0', '0/0', '81/102']
recall per class ['0/0', '0/2', '8/15', '7/15', '0/0', '0/0', '70/96']
recall per class ['0/0', '1/3', '3/4', '5/14', '0/6', '0/0', '80/101']
recall per class ['0/0', '0/2', '1/5', '8/15', '0/1', '0/0', '80/105']
recall per class ['0/0', '0/2', '5/6', '6/14', '0/0', '0/0', '80/106']
recall per class ['0/0', '0/1', '4/6', '7/16', '0/1', '0/0', '87/104']
recall per class ['0/0', '1/5', '5/8', '9/20', '0/0', '0/0', '69/95']
recall per class ['0/0', '1/3', '5/7', '7/17', '0/2', '0/0', '79/99']
recall per class ['0/0', '0/3', '7/14', '7/14', '0/1', '0/0', '69/96']
recall per class ['0/0', '0/2', '3/9', '5/11', '0/3', '0/0', '83/103']
recall per class ['0/0', '0/2', '4/8', '3/14', '0/1', '0/0', '79/103']
recall per class ['0/0', '1/6', '2/4', '7/17', '0/3', '0/0', '84/98']
recall per class ['0/0', '1/2', '4/6', '7/15', '0/0', '0/0', '83/105']
